ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
0,13,20,40,30,26
13,12,20,40,30,24
25,1,20,40,30,2
26,4,20,40,30,8
30,3,20,40,30,6
33,1,20,40,30,2
34,2,20,40,30,4
36,6,20,40,30,12
42,2,20,40,30,4
44,5,20,40,30,10
49,2,20,40,30,4
51,43,20,40,30,86
94,4,20,40,30,8
98,6,20,40,30,12
104,1,20,40,30,2
105,4,20,40,30,8
109,3,20,40,30,6
112,27,20,40,30,54
139,2,20,40,30,4
141,4,20,40,30,8
145,4,20,40,30,8
149,1,20,40,30,2
150,26,20,40,30,52
176,10,20,40,30,20
186,1,20,40,30,2
187,9,20,40,30,18
196,5,20,40,30,10
201,1,20,40,30,2
202,7,20,40,30,14
209,5,20,40,30,10
214,4,20,40,30,8
218,3,20,40,30,6
221,1,20,40,30,2
222,3,20,40,30,6
225,8,20,40,30,16
233,2,20,40,30,4
235,24,20,40,30,48
259,13,20,40,30,26
272,18,20,40,30,36
290,6,20,40,30,12
296,2,20,40,30,4
298,19,20,40,30,38
317,5,20,40,30,10
322,1,20,40,30,2
323,10,20,40,30,20
333,4,20,40,30,8
337,1,20,40,30,2
338,7,20,40,30,14
345,8,20,40,30,16
353,3,20,40,30,6
356,2,20,40,30,4
358,3,20,40,30,6
361,1,20,40,30,2
362,8,20,40,30,16
370,2,20,40,30,4
372,4,20,40,30,8
376,1,20,40,30,2
377,3,20,40,30,6
380,16,20,40,30,32
396,5,20,40,30,10
401,3,20,40,30,6
404,10,20,40,30,20
414,4,20,40,30,8
418,10,20,40,30,20
428,5,20,40,30,10
433,1,20,40,30,2
434,7,20,40,30,14
441,4,20,40,30,8
445,9,20,40,30,18
454,1,20,40,30,2
455,3,20,40,30,6
458,3,20,40,30,6
461,16,20,40,30,32
477,8,20,40,30,16
485,5,20,40,30,10
490,1,20,40,30,2
491,20,20,40,30,40
511,2,20,40,30,4
513,18,20,40,30,36
531,1,20,40,30,2
532,1,20,40,30,2
533,5,20,40,30,10
538,14,20,40,30,28
552,3,20,40,30,6
555,1,20,40,30,2
556,5,20,40,30,10
561,2,20,40,30,4
563,6,20,40,30,12
569,7,20,40,30,14
576,5,20,40,30,10
581,2,20,40,30,4
583,4,20,40,30,8
587,3,20,40,30,6
590,5,20,40,30,10
595,3,20,40,30,6
598,1,20,40,30,2
599,5,20,40,30,10
604,4,20,40,30,8
608,13,20,40,30,26
621,12,20,40,30,24
