ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
0,1,20,40,30,2
1,5,20,40,30,10
6,2,20,40,30,4
8,2,20,40,30,4
10,1,20,40,30,2
11,2,20,40,30,4
13,6,20,40,30,12
19,2,20,40,30,4
21,5,20,40,30,10
26,1,20,40,30,2
27,5,20,40,30,10
32,1,20,40,30,2
33,9,20,40,30,18
42,3,20,40,30,6
45,3,20,40,30,6
48,4,20,40,30,8
52,4,20,40,30,8
56,3,20,40,30,6
59,2,20,40,30,4
61,3,20,40,30,6
64,9,20,40,30,18
73,10,20,40,30,20
83,4,20,40,30,8
87,7,20,40,30,14
94,7,20,40,30,14
101,5,20,40,30,10
106,2,20,40,30,4
108,3,20,40,30,6
111,3,20,40,30,6
114,10,20,40,30,20
