ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
0,3,20,40,30,6
3,3,20,40,30,6
6,3,20,40,30,6
9,3,20,40,30,6
12,34,20,40,30,68
46,11,20,40,30,22
57,4,20,40,30,8
61,1,20,40,30,2
62,6,20,40,30,12
68,1,20,40,30,2
69,2,20,40,30,4
71,2,20,40,30,4
73,5,20,40,30,10
78,2,20,40,30,4
80,3,20,40,30,6
83,10,20,40,30,20
93,5,20,40,30,10
98,1,20,40,30,2
99,5,20,40,30,10
104,4,20,40,30,8
108,11,20,40,30,22
119,20,20,40,30,40
139,1,20,40,30,2
140,8,20,40,30,16
148,6,20,40,30,12
154,13,20,40,30,26
167,10,20,40,30,20
177,8,20,40,30,16
185,7,20,40,30,14
192,4,20,40,30,8
196,2,20,40,30,4
198,2,20,40,30,4
200,3,20,40,30,6
203,16,20,40,30,32
219,2,20,40,30,4
221,8,20,40,30,16
229,1,20,40,30,2
230,8,20,40,30,16
238,7,20,40,30,14
245,4,20,40,30,8
249,2,20,40,30,4
251,9,20,40,30,18
260,3,20,40,30,6
263,1,20,40,30,2
264,6,20,40,30,12
270,2,20,40,30,4
272,9,20,40,30,18
281,1,20,40,30,2
282,8,20,40,30,16
290,5,20,40,30,10
