ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
0,1,20,40,30,2
1,1,20,40,30,2
2,4,20,40,30,8
6,16,20,40,30,32
22,6,20,40,30,12
28,3,20,40,30,6
31,4,20,40,30,8
35,5,20,40,30,10
40,1,20,40,30,2
41,5,20,40,30,10
46,16,20,40,30,32
62,5,20,40,30,10
67,7,20,40,30,14
74,2,20,40,30,4
76,7,20,40,30,14
83,3,20,40,30,6
86,3,20,40,30,6
89,5,20,40,30,10
94,2,20,40,30,4
96,1,20,40,30,2
97,2,20,40,30,4
99,4,20,40,30,8
103,1,20,40,30,2
104,3,20,40,30,6
107,5,20,40,30,10
112,2,20,40,30,4
114,2,20,40,30,4
116,2,20,40,30,4
118,9,20,40,30,18
127,1,20,40,30,2
128,2,20,40,30,4
130,3,20,40,30,6
133,1,20,40,30,2
134,24,20,40,30,48
158,1,20,40,30,2
159,17,20,40,30,34
176,2,20,40,30,4
178,1,20,40,30,2
179,1,20,40,30,2
180,6,20,40,30,12
186,3,20,40,30,6
189,2,20,40,30,4
191,1,20,40,30,2
192,7,20,40,30,14
199,2,20,40,30,4
201,3,20,40,30,6
204,2,20,40,30,4
206,2,20,40,30,4
208,1,20,40,30,2
209,4,20,40,30,8
213,7,20,40,30,14
220,6,20,40,30,12
226,14,20,40,30,28
240,4,20,40,30,8
244,1,20,40,30,2
245,7,20,40,30,14
252,6,20,40,30,12
258,5,20,40,30,10
263,5,20,40,30,10
268,6,20,40,30,12
