ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
0,9,20,40,30,18
9,2,20,40,30,4
11,4,20,40,30,8
15,7,20,40,30,14
22,7,20,40,30,14
29,4,20,40,30,8
33,1,20,40,30,2
34,2,20,40,30,4
36,7,20,40,30,14
43,1,20,40,30,2
44,5,20,40,30,10
49,6,20,40,30,12
55,2,20,40,30,4
57,2,20,40,30,4
59,19,20,40,30,38
78,12,20,40,30,24
90,2,20,40,30,4
92,23,20,40,30,46
115,1,20,40,30,2
116,3,20,40,30,6
119,2,20,40,30,4
121,2,20,40,30,4
123,1,20,40,30,2
124,5,20,40,30,10
129,8,20,40,30,16
137,5,20,40,30,10
142,14,20,40,30,28
156,8,20,40,30,16
164,2,20,40,30,4
166,8,20,40,30,16
174,2,20,40,30,4
176,3,20,40,30,6
179,9,20,40,30,18
188,2,20,40,30,4
190,6,20,40,30,12
196,2,20,40,30,4
198,7,20,40,30,14
205,15,20,40,30,30
220,23,20,40,30,46
243,4,20,40,30,8
247,10,20,40,30,20
257,4,20,40,30,8
261,3,20,40,30,6
264,5,20,40,30,10
269,1,20,40,30,2
270,1,20,40,30,2
271,10,20,40,30,20
281,14,20,40,30,28
295,1,20,40,30,2
296,1,20,40,30,2
297,3,20,40,30,6
300,4,20,40,30,8
304,1,20,40,30,2
305,2,20,40,30,4
307,18,20,40,30,36
325,6,20,40,30,12
331,2,20,40,30,4
333,8,20,40,30,16
341,9,20,40,30,18
350,17,20,40,30,34
367,2,20,40,30,4
369,1,20,40,30,2
370,2,20,40,30,4
372,13,20,40,30,26
385,1,20,40,30,2
386,1,20,40,30,2
387,6,20,40,30,12
393,6,20,40,30,12
399,3,20,40,30,6
402,2,20,40,30,4
404,3,20,40,30,6
407,4,20,40,30,8
411,11,20,40,30,22
422,4,20,40,30,8
426,3,20,40,30,6
429,8,20,40,30,16
437,2,20,40,30,4
439,1,20,40,30,2
440,3,20,40,30,6
443,3,20,40,30,6
446,1,20,40,30,2
447,16,20,40,30,32
463,20,20,40,30,40
483,1,20,40,30,2
484,4,20,40,30,8
488,2,20,40,30,4
490,2,20,40,30,4
492,9,20,40,30,18
501,5,20,40,30,10
506,2,20,40,30,4
508,19,20,40,30,38
527,11,20,40,30,22
538,4,20,40,30,8
542,2,20,40,30,4
544,2,20,40,30,4
546,3,20,40,30,6
549,4,20,40,30,8
553,1,20,40,30,2
554,1,20,40,30,2
555,4,20,40,30,8
559,1,20,40,30,2
560,7,20,40,30,14
567,6,20,40,30,12
573,1,20,40,30,2
574,11,20,40,30,22
585,10,20,40,30,20
595,2,20,40,30,4
597,2,20,40,30,4
599,1,20,40,30,2
600,5,20,40,30,10
605,1,20,40,30,2
606,2,20,40,30,4
608,10,20,40,30,20
618,1,20,40,30,2
619,6,20,40,30,12
625,5,20,40,30,10
630,12,20,40,30,24
642,1,20,40,30,2
643,4,20,40,30,8
647,2,20,40,30,4
649,3,20,40,30,6
652,1,20,40,30,2
653,1,20,40,30,2
654,7,20,40,30,14
661,3,20,40,30,6
664,11,20,40,30,22
675,1,20,40,30,2
676,1,20,40,30,2
677,13,20,40,30,26
690,1,20,40,30,2
691,2,20,40,30,4
693,9,20,40,30,18
702,30,20,40,30,60
732,4,20,40,30,8
736,9,20,40,30,18
745,15,20,40,30,30
760,15,20,40,30,30
775,2,20,40,30,4
777,4,20,40,30,8
781,3,20,40,30,6
784,1,20,40,30,2
785,15,20,40,30,30
800,11,20,40,30,22
811,19,20,40,30,38
830,5,20,40,30,10
835,4,20,40,30,8
839,7,20,40,30,14
846,1,20,40,30,2
847,3,20,40,30,6
850,1,20,40,30,2
