ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
0,9,52,19,79,10
1,145,42,14,5,11
30,84,57,72,83,9
46,346,34,41,17,5
115,149,86,40,43,9
144,163,2,17,33,10
176,51,1,26,59,11
186,14,22,55,94,12
188,334,13,77,19,8
254,396,13,83,34,10
333,47,75,44,4,7
342,9,26,68,93,10
343,214,37,61,71,8
385,75,89,68,86,9
400,456,56,72,98,11
491,13,33,44,97,10
493,40,39,50,93,9
501,73,36,11,21,10
515,87,8,5,8,10
532,1,58,40,49,10
594,312,8,61,82,10
607,4,43,29,22,7
618,67,67,73,91,8
630,55,32,20,66,8
660,63,19,25,62,10
661,151,14,36,80,6
683,7,43,5,48,12
723,111,34,28,70,10
760,203,45,85,5,8
769,2,43,27,83,8
778,188,94,96,95,11
804,45,71,49,54,12
808,45,59,92,11,6
815,131,21,59,95,11
850,21,35,55,13,12
855,38,23,30,33,11
893,178,3,27,46,9
901,29,75,41,43,7
907,194,16,5,83,9
915,44,75,99,94,10
933,33,20,59,94,13
951,44,85,64,26,8
969,90,34,89,81,9
976,93,59,98,37,11
1001,93,81,41,40,7
1022,36,45,56,71,9
1031,126,57,79,66,11
1036,108,42,68,74,10
1046,45,83,87,43,12
1047,26,19,7,81,8
1108,52,71,21,1,13
1122,5,13,72,67,11
1157,309,3,6,26,8
1194,73,12,1,32,8
1243,177,95,70,92,12
1254,185,73,40,61,7
1301,246,57,54,46,11
1306,58,26,8,3,10
1315,235,71,13,34,10
1323,28,22,20,37,8
1350,47,60,97,31,9
1430,42,26,15,70,8
1443,137,66,96,33,8
1449,4,4,49,63,6
1485,402,76,12,89,9
1502,69,32,61,79,9
1565,32,44,44,45,6
1578,181,4,91,22,9
1595,88,42,75,85,10
1602,318,18,20,36,9
1651,68,72,32,33,8
1659,88,57,4,94,5
1663,37,74,58,3,11
1667,247,10,60,11,7
1696,41,12,52,12,10
1717,20,91,85,37,7
1737,23,67,85,81,11
1774,149,83,21,5,6
1785,106,64,51,37,8
1789,102,53,41,94,10
1793,188,4,45,48,10
1820,59,87,43,90,14
1828,20,98,42,49,10
1874,24,6,44,27,12
1905,135,22,94,67,9
1913,40,9,17,36,8
1922,232,65,6,40,8
1923,158,44,29,19,7
1963,40,9,31,97,10
1986,48,24,15,40,10
2001,8,17,75,3,11
2048,204,99,45,15,7
2092,119,97,3,87,11
2114,77,89,99,32,11
2120,238,59,50,80,11
2123,220,82,96,95,13
2124,110,11,25,11,12
2136,34,86,11,38,11
2145,18,96,46,87,9
2178,9,58,29,22,10
